h,s,v,kelas
109.0,185.0,168.0,mentah
62.0,144.0,140.0,mentah
73.0,148.0,129.0,mentah
76.0,155.0,117.0,mentah
89.0,167.0,158.0,mentah
101.0,184.0,173.0,mentah
87.0,152.0,137.0,mentah
84.0,161.0,150.0,mentah
75.0,145.0,130.0,mentah
62.0,139.0,126.0,mentah
90.0,156.0,139.0,mentah
56.0,163.0,158.0,mentah
45.0,109.0,91.0,mentah
58.0,160.0,114.0,mentah
46.0,131.0,115.0,mentah
61.0,144.0,113.0,mentah
67.0,161.0,126.0,mentah
89.0,153.0,121.0,mentah
70.0,158.0,122.0,mentah
58.0,152.0,127.0,mentah
47.0,139.0,141.0,mentah
63.0,141.0,142.0,mentah
54.0,161.0,148.0,mentah
60.0,146.0,121.0,mentah
39.0,123.0,111.0,mentah
82.0,172.0,150.0,mentah
67.0,165.0,109.0,mentah
30.0,153.0,92.0,mentah
36.0,164.0,105.0,mentah
38.0,156.0,101.0,mentah
50.0,163.0,109.0,mentah
66.0,149.0,123.0,mentah
73.0,154.0,139.0,mentah
55.0,141.0,123.0,mentah
88.0,151.0,139.0,mentah
91.0,169.0,154.0,mentah
75.0,157.0,134.0,mentah
73.0,159.0,157.0,mentah
52.0,144.0,131.0,mentah
59.0,135.0,135.0,mentah
157.0,203.0,212.0,setengah-matang
59.0,133.0,168.0,setengah-matang
53.0,150.0,173.0,setengah-matang
28.0,111.0,185.0,setengah-matang
44.0,143.0,189.0,setengah-matang
71.0,131.0,150.0,setengah-matang
53.0,139.0,180.0,setengah-matang
56.0,126.0,181.0,setengah-matang
42.0,141.0,206.0,setengah-matang
37.0,159.0,197.0,setengah-matang
44.0,133.0,185.0,setengah-matang
61.0,144.0,201.0,setengah-matang
57.0,149.0,203.0,setengah-matang
45.0,125.0,163.0,setengah-matang
56.0,157.0,191.0,setengah-matang
33.0,127.0,184.0,setengah-matang
54.0,131.0,221.0,setengah-matang
56.0,162.0,209.0,setengah-matang
49.0,122.0,197.0,setengah-matang
71.0,140.0,173.0,setengah-matang
33.0,125.0,221.0,setengah-matang
41.0,104.0,198.0,setengah-matang
44.0,152.0,223.0,setengah-matang
41.0,99.0,198.0,setengah-matang
41.0,138.0,224.0,setengah-matang
72.0,156.0,227.0,setengah-matang
86.0,163.0,238.0,setengah-matang
85.0,176.0,242.0,setengah-matang
41.0,106.0,211.0,setengah-matang
65.0,159.0,237.0,setengah-matang
34.0,105.0,206.0,setengah-matang
47.0,125.0,245.0,setengah-matang
49.0,131.0,246.0,setengah-matang
50.0,128.0,242.0,setengah-matang
45.0,121.0,230.0,setengah-matang
50.0,131.0,242.0,setengah-matang
54.0,135.0,241.0,setengah-matang
49.0,132.0,244.0,setengah-matang
57.0,136.0,226.0,setengah-matang
55.0,137.0,243.0,setengah-matang
132.0,148.0,225.0,matang
43.0,98.0,185.0,matang
34.0,74.0,175.0,matang
68.0,86.0,180.0,matang
56.0,91.0,187.0,matang
74.0,87.0,183.0,matang
50.0,86.0,180.0,matang
51.0,72.0,170.0,matang
64.0,87.0,198.0,matang
52.0,74.0,196.0,matang
62.0,90.0,223.0,matang
53.0,82.0,202.0,matang
67.0,68.0,180.0,matang
64.0,92.0,212.0,matang
62.0,95.0,228.0,matang
64.0,83.0,207.0,matang
83.0,121.0,222.0,matang
70.0,83.0,213.0,matang
79.0,83.0,182.0,matang
74.0,85.0,177.0,matang
31.0,64.0,216.0,matang
27.0,64.0,198.0,matang
58.0,76.0,210.0,matang
36.0,76.0,231.0,matang
29.0,64.0,216.0,matang
60.0,80.0,175.0,matang
47.0,76.0,196.0,matang
48.0,84.0,199.0,matang
48.0,77.0,191.0,matang
33.0,51.0,163.0,matang
32.0,52.0,179.0,matang
41.0,65.0,198.0,matang
47.0,56.0,188.0,matang
32.0,58.0,190.0,matang
49.0,81.0,192.0,matang
44.0,66.0,167.0,matang
48.0,72.0,206.0,matang
36.0,65.0,191.0,matang
36.0,58.0,191.0,matang
37.0,60.0,190.0,matang
